"","oracle_acc","edge_prob","human_shd_mean","human_sid_mean","human_shd_sd","human_sid_sd"
"1",0,0.1,4.83333333333333,10.2,0.365410596746399,1.45539029800952
"2",0.2,0.1,4.5,8.3,0.320739089009105,1.10396360093253
"3",0.4,0.1,3.86666666666667,6.73333333333333,0.334709801680495,1.02377859196409
"4",0.6,0.1,4.03333333333333,7.43333333333333,0.424760468898292,1.20885937816132
"5",0.8,0.1,4.73333333333333,11.2666666666667,0.338805655251874,1.48163728427223
"6",0,0.2,8.26666666666667,25.6333333333333,0.500421278463154,2.89926004564277
"7",0.2,0.2,9.6,30.2666666666667,0.522152926029262,2.73543513247613
"8",0.4,0.2,9.46666666666667,26.7,0.443946080741078,2.38778019358432
"9",0.6,0.2,8.13333333333333,25.9666666666667,0.419998175511454,2.72935651265643
"10",0.8,0.2,10.3666666666667,31.3,0.508509956125666,2.83660392707203
"11",0,0.3,13.6,44.8666666666667,0.672275258349216,2.9183262930129
"12",0.2,0.3,13.2666666666667,44.4,0.552805453782613,2.95039447976146
"13",0.4,0.3,13.6666666666667,46.5666666666667,0.682007404370992,3.19974256627333
"14",0.6,0.3,14.7,48.6333333333333,0.534230567124884,2.45580865878887
"15",0.8,0.3,14,45.2333333333333,0.557086014531156,3.10160630735491
"16",0,0.4,17.2,57.6333333333333,0.530451986842191,2.24657252778658
"17",0.2,0.4,17.9,58,0.572050154540968,2.22421366707014
"18",0.4,0.4,17.8,61.1,0.616627833508569,2.76028900702424
"19",0.6,0.4,18.0333333333333,57.7,0.568287067925077,2.00180952623129
"20",0.8,0.4,17.1333333333333,59.1333333333333,0.511327623639989,2.81405884854335
"21",0,0.5,23.1333333333333,67.8,0.790363416095353,2.07857156963982
"22",0.2,0.5,23.1666666666667,69.6333333333333,0.444851346301788,1.57018436089622
"23",0.4,0.5,22,67.0333333333333,0.709540890902046,1.89947562838675
"24",0.6,0.5,22.8,69.7,0.643981865954439,1.61041866477698
"25",0.8,0.5,21.7666666666667,65.7333333333333,0.524532267469656,2.123721161283
"26",0,0.6,26,70.7666666666667,0.557086014531156,1.45876922877995
"27",0.2,0.6,26,71.5,0.567308628931175,1.51068987818347
"28",0.4,0.6,26.6333333333333,73.1666666666667,0.562186481380283,1.44403914148668
"29",0.6,0.6,26.5333333333333,69.0666666666667,0.588653896582436,1.72735485331533
"30",0.8,0.6,27.2,72.7666666666667,0.463370956878138,1.22491691797391
"31",0,0.7,31.8333333333333,76.4666666666667,0.616037268116802,0.88633733405053
"32",0.2,0.7,30.7333333333333,74.7333333333333,0.538053822315958,1.26575890037152
"33",0.4,0.7,31.2666666666667,75.2,0.439260960672447,1.04979472541885
"34",0.6,0.7,30.7,75,0.643535493220446,1.30251745636591
"35",0.8,0.7,32.6333333333333,75.4666666666667,0.435450178823649,1.16730688509264
"36",0,0.8,36.4666666666667,77.4666666666667,0.459218059372277,0.966963886134391
"37",0.2,0.8,35.6333333333333,78.8666666666667,0.543473996318434,0.68938308809079
"38",0.4,0.8,35.3333333333333,78.5,0.435054054861394,0.75923433906087
"39",0.6,0.8,36.0666666666667,77.9333333333333,0.565143320919638,0.799329220700166
"40",0.8,0.8,36.0333333333333,79.7666666666667,0.445883684985668,0.535376832231674
"41",0,0.9,40.4333333333333,80,0.294326948291218,0.518618855462641
"42",0.2,0.9,40.5333333333333,78.3666666666667,0.36113910884685,0.934010427633013
"43",0.4,0.9,40.3333333333333,79.6,0.381567647648226,0.578543553829926
"44",0.6,0.9,40.4,79.9333333333333,0.391284357310463,0.518471079749294
"45",0.8,0.9,40.8333333333333,79.6333333333333,0.362251368030332,0.560138187657323
