"","oracle_acc","edge_prob","mean_shd_human","mean_shd_hc","std_error_human","std_error_hc"
"1",0.1,0.1,4.31,5.32,0.29187481750043,0.277754342445757
"2",0.1,0.3,14.84,14.41,0.516538596052726,0.713377936866624
"3",0.1,0.5,25.52,27.54,0.553862470622118,0.800431701702843
"4",0.1,0.7,32.75,35.91,0.5269264798352,0.844601992214395
"5",0.1,0.9,38.68,46.06,0.558294661709146,0.993292657292051
"6",0.2,0.1,3.96,5.85,0.249816093973308,0.307605611329202
"7",0.2,0.3,13.11,14.09,0.442649278592413,0.666226369755488
"8",0.2,0.5,23.23,25.56,0.572757815443417,0.821100517967234
"9",0.2,0.7,28.89,35.71,0.495412286215565,0.974347230330402
"10",0.2,0.9,34.06,46.64,0.474994949468099,0.929050780923924
"11",0.3,0.1,3.46,5.76,0.231996168550738,0.35565276448931
"12",0.3,0.3,12.03,16.01,0.383354413122643,0.764951308940971
"13",0.3,0.5,20.35,27.07,0.567890834580027,0.947112037787089
"14",0.3,0.7,26.12,36.76,0.434213558219241,0.873761172093717
"15",0.3,0.9,31.41,45.34,0.491564190656066,0.859318499060903
"16",0.4,0.1,3.32,5.41,0.239477545814832,0.296816441593117
"17",0.4,0.3,10.98,14.9,0.416085655517314,0.674873725562453
"18",0.4,0.5,17.73,27.56,0.431079218855761,0.950525638738372
"19",0.4,0.7,22.9,36.53,0.48440320462035,0.957527856492748
"20",0.4,0.9,28.06,45.55,0.530069558995551,0.89807594558612
"21",0.5,0.1,2.26,5.62,0.172691117959848,0.355556186868126
"22",0.5,0.3,8.92,15.26,0.413821803254112,0.678027442011909
"23",0.5,0.5,14.18,26.08,0.487703337547064,1.01490707142889
"24",0.5,0.7,19.54,38.43,0.482715383444677,0.834272803770512
"25",0.5,0.9,24.49,46.99,0.458476837038699,0.807477053493901
"26",0.6,0.1,2.1,5.62,0.174945879077104,0.3347786846213
"27",0.6,0.3,7.11,14.76,0.309739219083383,0.636296100312368
"28",0.6,0.5,12.71,26.5,0.429774429911856,0.889614602743312
"29",0.6,0.7,17.12,38.37,0.440908153700972,0.911725525771564
"30",0.6,0.9,21.9,46.2,0.451372765834818,0.908100470568353
"31",0.7,0.1,1.74,6.39,0.177308724653876,0.383996790811506
"32",0.7,0.3,5.59,15.58,0.289581725524205,0.691533210929296
"33",0.7,0.5,10.11,26.71,0.370065514265359,0.930438693099208
"34",0.7,0.7,14.16,37.52,0.395356890299222,0.961215560389736
"35",0.7,0.9,18.21,44.37,0.405839944566895,0.942450598871438
"36",0.8,0.1,1.43,5.55,0.160337396785905,0.31634752658391
"37",0.8,0.3,3.68,13.78,0.240739601136904,0.66629989911117
"38",0.8,0.5,6.99,23.65,0.314464431673725,0.867059934083527
"39",0.8,0.7,11.22,37.74,0.447118721946589,0.89889044961221
"40",0.8,0.9,15.85,46,0.343885992383487,0.913202821907266
"41",0.9,0.1,0.92,5.83,0.116063375233995,0.280711577778669
"42",0.9,0.3,2.51,14.31,0.197200098346524,0.6942323716585
"43",0.9,0.5,4.73,26.57,0.227793544662484,0.898062448617111
"44",0.9,0.7,7.56,37.16,0.310203582549046,0.812244676277668
"45",0.9,0.9,11.09,46.55,0.365174650342169,0.882761392884667
